City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Nosy Varika,MG,2022-07-16 19:24:05,-20.5833,48.5333,69.17,83,96,8.03
137,Ngorongoro,TZ,2022-07-16 19:24:05,-3.2397,35.4875,51.44,70,57,5.75
138,Tuktoyaktuk,CA,2022-07-16 19:24:05,69.4541,-133.0374,59.0,58,75,11.5
139,New Norfolk,AU,2022-07-16 19:21:49,-42.7826,147.0587,49.91,85,100,1.01
140,Kalininsk,RU,2022-07-16 19:24:06,51.5,44.4758,67.46,76,100,5.32
141,Atar,MR,2022-07-16 19:24:06,20.5169,-13.0499,110.44,6,95,19.3
142,Lorengau,PG,2022-07-16 19:24:07,-2.0226,147.2712,81.41,79,18,10.54
143,Ayr,GB,2022-07-16 19:24:07,55.4627,-4.6339,64.38,77,20,1.14
144,Rathdrum,US,2022-07-16 19:24:08,47.8137,-116.892,85.23,36,0,1.99
145,Hobyo,SO,2022-07-16 19:24:08,5.3505,48.5268,78.26,68,94,31.03
146,Oruro,BO,2022-07-16 19:24:08,-17.9833,-67.15,55.89,19,43,4.61
147,Saint-Pierre,RE,2022-07-16 19:24:09,-21.3393,55.4781,67.68,79,20,11.5
148,Puerto Ayora,EC,2022-07-16 19:23:34,-0.7393,-90.3518,75.16,87,37,8.01
149,Mangai,CD,2022-07-16 19:24:09,-4.05,19.5333,78.4,44,6,1.63
150,Jamestown,US,2022-07-16 19:24:10,42.097,-79.2353,82.94,36,0,6.91
151,Bilma,NE,2022-07-16 19:24:10,18.6853,12.9164,93.02,34,0,9.4
152,San Andres,CO,2022-07-16 19:22:36,12.5847,-81.7006,86.02,70,20,13.8
153,Klaksvik,FO,2022-07-16 19:24:11,62.2266,-6.589,52.72,91,100,13.96
154,Rocha,UY,2022-07-16 19:19:26,-34.4833,-54.3333,48.94,91,100,19.82
155,Taperoa,BR,2022-07-16 19:24:11,-7.2075,-36.8267,79.23,58,83,16.17
156,Corinto,GR,2022-07-16 19:21:51,37.9407,22.9573,82.89,39,0,1.12
157,Acarau,BR,2022-07-16 19:24:12,-2.8856,-40.12,84.15,66,20,17.2
158,Yangjiang,CN,2022-07-16 19:24:12,21.85,111.9667,81.7,90,100,8.34
159,Quelimane,MZ,2022-07-16 19:24:13,-17.8786,36.8883,67.95,88,75,10.36
160,Saint-Georges,GD,2022-07-16 19:24:13,12.0564,-61.7485,80.28,83,75,13.8
161,Udachnyy,RU,2022-07-16 19:24:13,66.4167,112.4,52.45,100,100,15.21
162,Iguape,BR,2022-07-16 19:24:14,-24.7081,-47.5553,84.9,43,100,6.64
163,Noumea,NC,2022-07-16 19:24:14,-22.2763,166.4572,64.38,67,25,13.42
164,Pointe Michel,DM,2022-07-16 19:22:40,15.25,-61.3833,84.49,78,20,5.75
165,Taltal,CL,2022-07-16 19:20:20,-25.4,-70.4833,61.66,46,0,6.44
166,Ningxiang,CN,2022-07-16 19:24:15,37.34,111.2052,63.86,78,69,2.08
167,Ahuimanu,US,2022-07-16 19:24:15,21.4447,-157.8378,82.11,68,75,13.8
168,Gorontalo,ID,2022-07-16 19:24:15,0.5412,123.0595,74.48,93,100,1.74
169,General Pico,AR,2022-07-16 19:24:16,-35.6566,-63.7568,53.91,33,2,14.25
170,Codrington,AU,2022-07-16 19:24:16,-38.2667,141.9667,51.85,93,100,14.09
171,Ahipara,NZ,2022-07-16 19:24:16,-35.1667,173.1667,50.65,77,8,7.29
172,Los Llanos De Aridane,ES,2022-07-16 19:23:08,28.6585,-17.9182,70.12,86,40,14.97
173,Huarmey,PE,2022-07-16 19:24:17,-10.0681,-78.1522,66.99,71,5,14.41
174,Jasper,US,2022-07-16 19:24:17,37.2001,-94.3502,96.46,42,0,11.5
175,Bredasdorp,ZA,2022-07-16 19:23:24,-34.5322,20.0403,62.19,42,100,5.59
176,Requena,ES,2022-07-16 19:24:18,39.4883,-1.1004,78.51,28,0,7.72
177,Saint-Philippe,RE,2022-07-16 19:19:19,-21.3585,55.7679,67.59,76,29,13.24
178,Kamenka,RU,2022-07-16 19:24:18,51.3223,42.7678,68.29,75,100,6.89
179,Masaba,PH,2022-07-16 19:24:19,10.5333,123.9667,77.0,86,100,4.32
180,Cidreira,BR,2022-07-16 19:24:19,-30.1811,-50.2056,67.3,87,71,6.49
181,Kloulklubed,PW,2022-07-16 19:24:14,7.0419,134.2556,73.9,74,100,7.81
182,Tuatapere,NZ,2022-07-16 19:23:11,-46.1333,167.6833,42.42,87,100,7.36
183,Mezen,RU,2022-07-16 19:25:20,65.8522,44.24,59.85,85,0,8.25
184,Storsteinnes,NO,2022-07-16 19:25:21,69.2408,19.2344,50.65,98,100,4.56
185,Novikovo,RU,2022-07-16 19:25:21,51.1537,37.8879,63.79,69,34,6.6
186,Sibu,MY,2022-07-16 19:24:14,2.3,111.8167,71.91,88,40,6.91
187,Saldanha,ZA,2022-07-16 19:25:22,-33.0117,17.9442,59.05,51,50,5.41
188,Suoyarvi,RU,2022-07-16 19:25:23,62.0833,32.35,53.71,78,9,7.25
189,Faridpur,BD,2022-07-16 19:25:24,23.6,89.8333,82.49,83,13,9.84
190,Kahului,US,2022-07-16 19:25:24,20.8947,-156.47,82.98,80,20,23.02
191,Necochea,AR,2022-07-16 19:25:02,-38.5473,-58.7368,47.75,69,100,22.62
192,Chokurdakh,RU,2022-07-16 19:24:08,70.6333,147.9167,46.18,77,100,14.74
193,Yulara,AU,2022-07-16 19:25:25,-25.2406,130.9889,50.61,22,98,5.44
194,Joshimath,IN,2022-07-16 19:25:25,30.5667,79.5667,70.65,86,62,0.85
195,Sabha,LY,2022-07-16 19:25:26,27.0377,14.4283,86.61,18,0,8.34
196,Lompoc,US,2022-07-16 19:20:40,34.6391,-120.4579,95.68,65,0,12.66
197,Talakan,RU,2022-07-16 19:25:26,50.3167,130.3667,65.71,94,92,2.75
198,Iqaluit,CA,2022-07-16 19:23:16,63.7506,-68.5145,62.33,51,75,20.71
199,Butaritari,KI,2022-07-16 19:25:27,3.0707,172.7902,80.56,78,100,16.11
200,Lithakia,GR,2022-07-16 19:25:27,37.7167,20.8333,83.48,39,0,3.44
201,Wagar,SD,2022-07-16 19:25:28,16.1525,36.2032,91.89,35,18,9.44
202,Sao Jose Da Coroa Grande,BR,2022-07-16 19:25:28,-8.8978,-35.1478,76.26,85,77,14.03
203,Torbay,CA,2022-07-16 19:24:26,47.6666,-52.7314,75.97,43,40,17.27
204,Qaanaaq,GL,2022-07-16 19:25:28,77.484,-69.3632,52.27,63,12,4.14
205,Hay River,CA,2022-07-16 19:22:10,60.8156,-115.7999,61.66,65,100,4.21
206,Kisangani,CD,2022-07-16 19:25:29,0.5167,25.2,70.09,94,100,3.4
207,Yellowknife,CA,2022-07-16 19:25:29,62.456,-114.3525,69.57,64,75,6.91
208,Brokopondo,SR,2022-07-16 19:25:30,4.75,-55.1667,86.18,58,55,1.68
209,Karratha,AU,2022-07-16 19:24:39,-20.7377,116.8463,65.01,56,2,5.3
210,Bolton,GB,2022-07-16 19:25:30,53.5833,-2.4333,73.06,65,100,7.0
211,Novoomskiy,RU,2022-07-16 19:25:31,54.8415,73.3017,66.22,63,40,4.47
